file,line_number,classification,match_tier,reason,raw_date,date,account_raw,account_code,account_name,description,csv_key_raw,csv_debit,csv_credit,csv_net,alms_id,alms_date,alms_account_code,alms_account_name,alms_description,alms_debit,alms_credit,alms_net
Copy of General_ledger2.csv,115,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,756.00,-756.00,,,,,,,,
Copy of General_ledger2.csv,116,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,125.20,-125.20,,,,,,,,
Copy of General_ledger2.csv,117,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,450.00,-450.00,,,,,,,,
Copy of General_ledger2.csv,118,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,1000.00,-1000.00,,,,,,,,
Copy of General_ledger2.csv,119,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,1470.00,-1470.00,,,,,,,,
Copy of General_ledger2.csv,120,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,2429.06,-2429.06,,,,,,,,
Copy of General_ledger2.csv,121,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,145.95,-145.95,,,,,,,,
Copy of General_ledger2.csv,122,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,765.82,,765.82,,,,,,,,
Copy of General_ledger2.csv,123,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,4266.97,-4266.97,,,,,,,,
Copy of General_ledger2.csv,124,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,145.72,-145.72,,,,,,,,
Copy of General_ledger2.csv,125,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,1181.25,-1181.25,,,,,,,,
Copy of General_ledger2.csv,126,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,792.95,-792.95,,,,,,,,
Copy of General_ledger2.csv,127,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,299.99,-299.99,,,,,,,,
Copy of General_ledger2.csv,128,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,1320.54,-1320.54,,,,,,,,
Copy of General_ledger2.csv,129,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,1256.14,-1256.14,,,,,,,,
Copy of General_ledger2.csv,130,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,298.20,-298.20,,,,,,,,
Copy of General_ledger2.csv,131,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,5241.69,-5241.69,,,,,,,,
Copy of General_ledger2.csv,132,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,6835.12,-6835.12,,,,,,,,
Copy of General_ledger2.csv,133,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,488.75,-488.75,,,,,,,,
Copy of General_ledger2.csv,134,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,2077.45,-2077.45,,,,,,,,
Copy of General_ledger2.csv,135,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,29442.96,-29442.96,,,,,,,,
